Model,Accuracy
decision_tree_v1.csv,0.6052631578947368
decision_tree_v2.csv,0.7033492822966507
decision_tree_v3.csv,0.6698564593301436
decision_tree_v4.csv,0.6746411483253588
decision_tree_v5.csv,0.7033492822966507
decision_tree_v6.csv,0.7033492822966507
decision_tree_v7.csv,0.722488038277512
gradient_boosting.csv,0.7559808612440191
knn.csv,0.7248803827751196
log_reg.csv,0.7583732057416268
random_forest.csv,0.7272727272727273
svm.csv,0.7703349282296651
svm_linear.csv,0.7559808612440191
svm_poly.csv,0.7488038277511961
svm_rbf.csv,0.7990430622009569
svm_sigmoid.csv,0.6435406698564593
